"src","tgt"
"<en> She took pity on him.","<es> Ella tuvo lástima por él."
"<en> She tried it herself.","<es> Lo probó ella misma."
"<en> She tried it herself.","<es> Ella misma lo intentó."
"<en> She tried not to cry.","<es> Ella trató de no llorar."
"<en> She used to date him.","<es> Ella solía salir con él."
"<en> She used to hate him.","<es> Ella solía odiarlo."
"<en> She used to love him.","<es> Ella solía amarle."
"<en> She wanted to travel.","<es> Ella quería viajar."
"<en> She wants to hug him.","<es> Ella quiere abrazarlo."
"<en> She wants to hug him.","<es> Ella quiere abrazarle."
"<en> She was born in Ohio.","<es> Ella nació en Ohio."
"<en> She was hit by a car.","<es> Un auto la chocó."
"<en> She was well-dressed.","<es> Ella iba bien vestida."
"<en> She watched him swim.","<es> Ella lo miraba como nadaba."
"<en> She went on a picnic.","<es> Se fue de picnic."
"<en> She went on speaking.","<es> Ella continuó hablando."
"<en> She wore a red dress.","<es> Ella llevaba un vestido rojo."
"<en> She'll probably come.","<es> Ella probablemente vendrá."
"<en> She's a quiet person.","<es> Ella es una persona tranquila."
"<en> She's beating cancer.","<es> Ella le está ganando al cáncer."
"<en> She's going to Ooita.","<es> Ella va a Ooita."
"<en> She's gone on a trip.","<es> Ella se fue de viaje."
"<en> She's good at tennis.","<es> Ella es buena para jugar tenis."
"<en> She's good at tennis.","<es> A ella se le da bien jugar al tenis."
"<en> She's my best friend.","<es> Ella es mi mejor amiga."
"<en> She's my best friend.","<es> Es mi mejor amiga."
"<en> She's older than Tom.","<es> Ella es mayor que Tom."
"<en> She's older than him.","<es> Ella es mayor que él."
"<en> She's very beautiful.","<es> Ella es muy bonita."
"<en> She's very beautiful.","<es> Es muy hermosa."
"<en> She's wearing tights.","<es> Ella lleva medias."
"<en> She's wearing tights.","<es> Ella lleva pantis."
"<en> Should I cut my hair?","<es> ¿Debería cortarme el pelo?"
"<en> Should I include Tom?","<es> ¿Yo debería incluir a Tom?"
"<en> Should I quit my job?","<es> ¿Debería dimitir?"
"<en> Show me how it works.","<es> Enséñame cómo funciona."
"<en> Show me how to do it.","<es> Muéstrame cómo se hace."
"<en> Show me how to do it.","<es> Muéstrame como hacerlo."
"<en> Show me how to do it.","<es> Muéstrame cómo hacerlo."
"<en> Sign above this line.","<es> Firma sobre esta línea."
"<en> Sit down and shut up.","<es> Siéntate y cierra la boca."
"<en> Size does not matter.","<es> El tamaño no importa."
"<en> Skiing is my passion.","<es> Esquiar es mi pasión."
"<en> Smoking is permitted.","<es> Se permite fumar."
"<en> Smoking is unhealthy.","<es> Fumar es poco saludable."
"<en> So what do we do now?","<es> ¿Entonces qué hacemos ahora?"
"<en> Some people are evil.","<es> Algunas personas son malignas."
"<en> Something went wrong.","<es> Algo salió mal."
"<en> Sorry for being late.","<es> Perdona por llegar tarde."
"<en> Sorry, that's a typo.","<es> Perdón, es un error mecanográfico."
"<en> Speak louder, please.","<es> Habla más alto, por favor."
"<en> Speak slower, please.","<es> Hable más despacio, por favor."
"<en> Speak slowly, please.","<es> Habla despacio, por favor."
"<en> Speak slowly, please.","<es> Hablad despacio, por favor."
"<en> Speak slowly, please.","<es> Hable despacio, por favor."
"<en> Speak slowly, please.","<es> Hablen despacio, por favor."
"<en> Speak to the manager.","<es> Hable usted con el encargado."
"<en> Spring is in the air.","<es> La primavera está en el aire."
"<en> Stay a little longer.","<es> Quédate un poco más."
"<en> Stick to the subject.","<es> Concrétese al tema."
"<en> Stick to the subject.","<es> ¡Cíñete al tema!"
"<en> Stock prices dropped.","<es> Los valores de la bolsa cayeron."
"<en> Stop pulling my hair!","<es> ¡Deja de tirarme el pelo!"
"<en> Sumatra is an island.","<es> Sumatra es una isla."
"<en> Swimming is my hobby.","<es> Nadar es mi pasatiempo."
"<en> Take Tom out of here.","<es> Saca a Tom de aquí."
"<en> Take it, or leave it.","<es> Tómalo o déjalo."
"<en> Take the garbage out.","<es> Lleva afuera la basura."
"<en> Take this table away.","<es> Quita esta mesa."
"<en> Tell Tom to write me.","<es> Dile a Tom que me escriba."
"<en> Tell Tom to write me.","<es> Dígale a Tom que me escriba."
"<en> Tell her to help him.","<es> Dile que le ayude."
"<en> Tell me what you saw.","<es> Dime lo que viste."
"<en> Tell me when to stop.","<es> Dime cuándo parar."
"<en> Thank God I survived.","<es> Gracias a Dios que sobreviví."
"<en> Thank you for coming.","<es> Gracias por venir."
"<en> Thank you in advance.","<es> Muchas gracias de antemano."
"<en> Thank you in advance.","<es> Gracias por adelantado."
"<en> Thank you, my friend.","<es> Gracias, amigo mío."
"<en> Thanks for having me.","<es> Gracias por recibirme."
"<en> Thanks for listening.","<es> Gracias por escuchar."
"<en> Thanks for the drink.","<es> Gracias por el trago."
"<en> Thanks for the pizza.","<es> Gracias por la pizza."
"<en> Thanks for your time.","<es> Gracias por tu tiempo."
"<en> That apple isn't red.","<es> Esa manzana no es roja."
"<en> That bicycle is mine.","<es> Aquella bicicleta es mía."
"<en> That bicycle is mine.","<es> Esa bicicleta es mía."
"<en> That boy doesn't eat.","<es> Aquel niño no come."
"<en> That cake looks good.","<es> Ese pastel tiene buena cara."
"<en> That car is very new.","<es> Ese coche es muy nuevo."
"<en> That is a blue house.","<es> Esa es una casa azul."
"<en> That is not my fault.","<es> Eso no es culpa mía."
"<en> That is the bus stop.","<es> Ésa es la parada de autobús."
"<en> That just baffles me.","<es> Eso me desconcierta."
"<en> That knife cuts well.","<es> Ese cuchillo corta bien."
"<en> That knife cuts well.","<es> Aquel cuchillo corta bien."
"<en> That man has one box.","<es> Ese hombre tiene una caja."
"<en> That meat is chicken.","<es> Esa carne es de pollo."
"<en> That news got around.","<es> Ha circulado esa noticia."
"<en> That sounds familiar.","<es> Eso suena familiar."
"<en> That sounds sensible.","<es> Parece razonable."
"<en> That was a month ago.","<es> Fue hace un mes."
"<en> That wasn't the plan.","<es> Ese no era el plan."
"<en> That woman is strong.","<es> Esa mujer es fuerte."
"<en> That would be racist.","<es> Eso sería racista."
"<en> That would be unfair.","<es> Eso sería injusto."
"<en> That's Tom's brother.","<es> Ese es el hermano de Tom."
"<en> That's a big problem.","<es> Es un gran problema."
"<en> That's a good excuse.","<es> Esa es una buena excusa."
"<en> That's a stupid idea.","<es> Esa es una idea estúpida."
"<en> That's a woman's job.","<es> Eso es trabajo de mujeres."
"<en> That's all for today.","<es> Eso es todo por hoy."
"<en> That's all she wrote.","<es> Eso es todo lo que ella escribió."
"<en> That's another issue.","<es> Eso es cuestión aparte."
"<en> That's disappointing.","<es> Eso es decepcionante."
"<en> That's her boyfriend.","<es> Es su novio."
"<en> That's his specialty.","<es> Es su especialidad."
"<en> That's my dictionary.","<es> Ése es mi diccionario."
"<en> That's not an option.","<es> Eso no es una opción."
"<en> That's not very nice.","<es> Eso es una grosería."
"<en> That's pretty normal.","<es> Eso es bastante normal."
"<en> That's pseudoscience.","<es> Eso es pseudociencia."
"<en> That's really stupid.","<es> Eso es realmente estúpido."
"<en> That's the main gate.","<es> Ese es el portón principal."
"<en> That's too expensive.","<es> Es demasiado caro."
"<en> That's very sensible.","<es> Eso es muy razonable."
"<en> That's what Tom said.","<es> Eso es lo que Tom dijo."
"<en> That's what she said.","<es> Eso es lo que ella dijo."
"<en> The TV was turned on.","<es> La televisión estaba encendida."
"<en> The adventure begins.","<es> La aventura comienza."
"<en> The answer is simple.","<es> La respuesta es simple."
"<en> The baby fell asleep.","<es> El bebé se durmió."
"<en> The baby is crawling.","<es> El bebé está gateando."
"<en> The baby is crawling.","<es> La bebé está gateando."
"<en> The baby is sleeping.","<es> El bebé está durmiendo."
"<en> The bathtub is dirty.","<es> La tina está sucia."
"<en> The battery gave out.","<es> Se acabó la batería."
"<en> The beer's very cold.","<es> La cerveza está bien fría."
"<en> The border is closed.","<es> La frontera está cerrada."
"<en> The boy began to cry.","<es> El niño empezó a llorar."
"<en> The boy began to cry.","<es> El niño se puso a llorar."
"<en> The boy bought a dog.","<es> El chico compró un perro."
"<en> The boy came running.","<es> El niño vino corriendo."
"<en> The boy stayed quiet.","<es> El niño se quedó callado."
"<en> The boys are thirsty.","<es> Los chicos tienen sed."
"<en> The bridge collapsed.","<es> El puente se derrumbó."
"<en> The bridge collapsed.","<es> El puente se cayó abajo."
"<en> The cab arrived late.","<es> El taxi atrasado llegó."
"<en> The cabinet resigned.","<es> Dimitió el ministerio."
"<en> The car is very fast.","<es> El auto es muy rápido."
"<en> The cat is very cute.","<es> El gato es muy mono."
"<en> The cats are meowing.","<es> Los gatos están maullando."
"<en> The cats are purring.","<es> Los gatos están ronroneando."
"<en> The clock is ticking.","<es> El reloj está haciendo tic-toc."
"<en> The clock is ticking.","<es> El reloj está haciendo tic tac."
"<en> The coal bin is full.","<es> La carbonera está llena."
"<en> The company's failed.","<es> Ha quebrado la empresa."
"<en> The couple had a son.","<es> La pareja tenía un hijo."
"<en> The dawn is breaking.","<es> Está amaneciendo."
"<en> The dog is beautiful.","<es> El perro es hermoso."
"<en> The dog is beautiful.","<es> El perro es bonito."
"<en> The dog looks hungry.","<es> El perro parece hambriento."
"<en> The door is open now.","<es> La puerta está abierta ahora."
"<en> The door won't budge.","<es> La puerta no se moverá."
"<en> The door won't budge.","<es> La puerta no se movera un ápice."
"<en> The door won't budge.","<es> La puerta no cederá."
"<en> The drinks were free.","<es> Las bebidas eran gratis."
"<en> The fight begins now.","<es> La pelea comienza ahora."
"<en> The food is terrible.","<es> La comida es terrible."
"<en> The gang is all here.","<es> Toda la banda está aquí."
"<en> The glass got broken.","<es> El vaso se rompió."
"<en> The glass got broken.","<es> El vidrio se rompió."
"<en> The gun isn't loaded.","<es> El arma no está cargada."
"<en> The horse is thirsty.","<es> El caballo tiene sed."
"<en> The hose didn't work.","<es> La manguera no funcionaba."
"<en> The house is burning.","<es> La casa se está quemando."
"<en> The house is haunted.","<es> La casa está encantada."
"<en> The house is haunted.","<es> La casa está embrujada."
"<en> The house is on fire!","<es> ¡La casa se está incendiando!"
"<en> The house is on fire!","<es> ¡La casa está ardiendo!"
"<en> The house is on fire.","<es> La casa se está quemando."
"<en> The job is half done.","<es> El trabajo está a medio hacer."
"<en> The job is half done.","<es> El trabajo está a medias."
"<en> The letter is for me.","<es> Esa carta es para mí."
"<en> The light bulb burst.","<es> La ampolleta se reventó."
"<en> The light turned red.","<es> El semáforo se puso rojo."
"<en> The light turned red.","<es> La luz se puso roja."
"<en> The lights aren't on.","<es> Las luces no están encendidas."
"<en> The line is busy now.","<es> La línea está ocupada ahora."
"<en> The mail has arrived.","<es> Ha llegado el correo."
"<en> The mall is deserted.","<es> El centro comercial está desierto."
"<en> The mall is deserted.","<es> La sala está desierta."
"<en> The man looked at me.","<es> Ese hombre me miró."
"<en> The man looked at me.","<es> El hombre me miró."
"<en> The milk tasted sour.","<es> La leche sabía agria."
"<en> The milk tastes sour.","<es> La leche tiene un sabor agrio."
"<en> The milk turned sour.","<es> La leche se ha cortado."
"<en> The more, the better.","<es> Cuanto más, mejor."
"<en> The movie is X-rated.","<es> La película está clasificada como X."
"<en> The noise bothers me.","<es> El ruido me jode."
"<en> The nuns are singing.","<es> Las monjas están cantando."
"<en> The past is the past.","<es> El pasado, pasado está."
"<en> The people are angry.","<es> La gente está enfadada."
"<en> The phone is ringing.","<es> Está sonando el teléfono."
"<en> The photo was a hoax.","<es> La foto fue un engaño."
"<en> The photo was a hoax.","<es> La foto estaba trucada."
"<en> The plates are dirty.","<es> Los platos están sucios."
"<en> The police are there.","<es> La policía está allí."
"<en> The professor smiled.","<es> El profesor sonrió."
"<en> The property is mine.","<es> La propiedad es mía."
"<en> The river overflowed.","<es> El río se salió de madre."
"<en> The river overflowed.","<es> El río se desbordó."
"<en> The river overflowed.","<es> El río se salió de su cauce."
"<en> The roses smell good.","<es> Las rosas huelen bien."
"<en> The roses smell nice.","<es> Las rosas huelen bien."
"<en> The rules are simple.","<es> Las reglas son simples."
"<en> The rumor isn't true.","<es> El rumor no es cierto."
"<en> The sailors saw land.","<es> Los marineros vieron tierra firme."
"<en> The school is closed.","<es> La escuela está cerrada."
"<en> The script was awful.","<es> El guion era horroroso."
"<en> The sheets feel damp.","<es> Las sábanas se sienten húmedas."
"<en> The shotgun went off.","<es> Se disparó la escopeta."
"<en> The shotgun went off.","<es> El rifle se disparó."
"<en> The shower is broken.","<es> La ducha está rota."
"<en> The students laughed.","<es> Los estudiantes se rieron."
"<en> The students like it.","<es> A los estudiantes les gusta."
"<en> The suit becomes him.","<es> El traje le cae bien."
"<en> The sun fades colors.","<es> El sol destiñe los colores."
"<en> The sun is coming up.","<es> El sol está saliendo."
"<en> The system is rigged.","<es> El sistema es un fraude."
"<en> The system is rotten.","<es> El sistema está podrido."
"<en> The taxi has arrived.","<es> El taxi ha llegado."
"<en> The telephone is red.","<es> El teléfono es rojo."
"<en> The temperature fell.","<es> La temperatura bajó."
"<en> The text is too long.","<es> El texto es demasiado largo."
"<en> The theater is empty.","<es> El teatro está vacío."
"<en> The tiger was killed.","<es> Mataron al tigre."
"<en> The two cars crashed.","<es> Chocaron los dos autos."
"<en> The voting continued.","<es> La votación prosiguió."
"<en> The water's very hot.","<es> El agua está muy caliente."
"<en> The wind calmed down.","<es> El viento se calmó."
"<en> The windows are open.","<es> Las ventanas están abiertas."
"<en> The woman is reading.","<es> La mujer está leyendo."
"<en> The wound is healing.","<es> La herida se está curando."
"<en> Their swords clashed.","<es> Sus espadas chocaron."
"<en> There are books here.","<es> Aquí hay libros."
"<en> There is a gold coin.","<es> Hay una moneda de oro."
"<en> There is another way.","<es> Hay otra forma."
"<en> There is little hope.","<es> Hay poca esperanza."
"<en> There is no solution.","<es> No hay ninguna solución."
"<en> There is one problem.","<es> Hay un problema."
"<en> There isn't any hope.","<es> No hay ninguna esperanza."
"<en> There were two cakes.","<es> Había dos pasteles."
"<en> There's a car coming.","<es> Viene un carro."
"<en> There's a crown here.","<es> Aquí hay una corona."
"<en> There's a difference.","<es> Hay una diferencia."
"<en> There's a glass here.","<es> Hay un vaso aquí."
"<en> There's a hotel here.","<es> Aquí hay un hotel."
"<en> There's an emergency.","<es> Hay una emergencia."
"<en> There's no beer here.","<es> Aquí no hay ninguna cerveza."
"<en> There's no beer here.","<es> Aquí no hay cerveza."
"<en> There's no food left.","<es> No queda comida."
"<en> There's no food left.","<es> No quedó comida."
"<en> There's no harm done.","<es> No pasa nada."
"<en> There's no milk left.","<es> No queda leche."
"<en> There's no more salt.","<es> Ya no queda sal."
"<en> There's no more salt.","<es> No queda sal."
"<en> There's no wind here.","<es> Aquí no corre el viento."
"<en> There's nobody there.","<es> No hay nadie ahí."
"<en> There's nothing here.","<es> Aquí no hay nada."
"<en> There's nothing here.","<es> No hay nada acá."
"<en> There's nothing left.","<es> No queda nada."
"<en> There's someone here.","<es> Hay alguien acá."
"<en> These apples are big.","<es> Estas manzanas son grandes."
"<en> These are my friends.","<es> Estos son mis amigos."
"<en> These are my friends.","<es> Estas son mis amigas."
"<en> These are my pencils.","<es> Son mis bolígrafos."
"<en> These are my pencils.","<es> Estos son mis lápices."
"<en> These are old photos.","<es> Son fotos viejas."
"<en> These books are mine.","<es> Estos libros son míos."
"<en> These books are ours.","<es> Estos libros son nuestros."
"<en> These men are strong.","<es> Esos hombres son fuertes."
"<en> These plums are ripe.","<es> Estas ciruelas están maduras."
"<en> They all respect him.","<es> Todos ellos lo respetan."
"<en> They always complain.","<es> Siempre se quejan."
"<en> They always complain.","<es> Ellos siempre se quejan."
"<en> They are inseparable.","<es> Ellos son inseparables."
"<en> They are inseparable.","<es> Ellas son inseparables."
"<en> They are my brothers.","<es> Son mis hermanos."
"<en> They are my brothers.","<es> Ellos son mis hermanos."
"<en> They are running now.","<es> Ahora están corriendo."
"<en> They aren't my books.","<es> No son mis libros."
"<en> They broke the rules.","<es> Ellos rompieron las normas."
"<en> They call me captain.","<es> Me llaman capitán."
"<en> They clinked glasses.","<es> Tintinearon las copas."
"<en> They deserve respect.","<es> Ellos merecen respeto."
"<en> They didn't find Tom.","<es> No lo encontraron a Tomás."
"<en> They do it each week.","<es> Lo hacen cada semana."
"<en> They do it each week.","<es> Lo hacen todas las semanas."
"<en> They don't like cats.","<es> A ellas no les gustan los gatos."
"<en> They drank smoothies.","<es> Tomaron batidos."
"<en> They drank smoothies.","<es> Bebieron batidos."
"<en> They exchanged gifts.","<es> Ellos intercambiaron regalos."
"<en> They finished eating.","<es> Terminaron de comer."
"<en> They had a good hunt.","<es> Tuvieron una buena cacería."
"<en> They had fun with us.","<es> Ellos se divirtieron con nosotros."
"<en> They had fun with us.","<es> Ellas se entretuvieron con nosotras."
"<en> They hate each other.","<es> Ellos se odian."
"<en> They have lost a lot.","<es> Ellos han perdido mucho."
"<en> They haven't hurt me.","<es> Ellos no me han herido."
"<en> They kept on walking.","<es> Siguieron caminando."
"<en> They know everything.","<es> Ellos saben todo."
"<en> They know who she is.","<es> Saben quién es."
"<en> They know who we are.","<es> Saben quiénes somos."
"<en> They left without me.","<es> Se fueron sin mí."
"<en> They live downstairs.","<es> Viven en el piso de abajo."
"<en> They look very tired.","<es> Parecen estar muy cansados."
"<en> They looked intently.","<es> Ellos miraron fijamente."
"<en> They lost everything.","<es> Lo perdieron todo."
"<en> They love each other.","<es> Ellos se aman."
"<en> They love their kids.","<es> Ellos aman a sus hijos."
"<en> They made fun of him.","<es> Ellos se burlaron de él."
"<en> They need daily care.","<es> Ellos requieren un cuidado diario."
"<en> They never showed up.","<es> Ellos nunca aparecieron."
"<en> They paid separately.","<es> Ellos pagaron por separado."
"<en> They robbed me blind.","<es> Ellos me robaron impunemente."
"<en> They sat in a circle.","<es> Ellos se sentaron en un círculo."
"<en> They say Tom is gone.","<es> Ellos dicen que Tom se ha ido."
"<en> They started kissing.","<es> Se empezaron a besar."
"<en> They stopped kissing.","<es> Ellos pararon de besarse."
"<en> They stopped kissing.","<es> Se dejaron de besar."
"<en> They stopped singing.","<es> Ellos dejaron de cantar."
"<en> They stopped talking.","<es> Ellos pararon de hablar."
"<en> They stopped to talk.","<es> Ellos se pararon para hablar."
"<en> They took the subway.","<es> Cogieron el metro."
"<en> They trapped the fox.","<es> Ellos atraparon al zorro."
"<en> They tried to escape.","<es> Ellos intentaron escapar."
"<en> They want more money.","<es> Quieren más dinero."
"<en> They want more money.","<es> Ellos quieren más dinero."
"<en> They want more money.","<es> Ellas quieren más dinero."
"<en> They want to go home.","<es> Ellos quieren irse a casa."
"<en> They want to help us.","<es> Ellos nos quieren ayudar."
"<en> They want to hurt me.","<es> Ellos quieren lastimarme."
"<en> They want to kill me.","<es> Me quieren matar."
"<en> They went to Tottori.","<es> Ellos fueron a Tottori."
"<en> They were both naked.","<es> Ellos dos estaban desnudos."
"<en> They were my friends.","<es> Ellos eran mis amigos."
"<en> They were not amused.","<es> No se divertían."
"<en> They were very happy.","<es> Ellos estaban muy felices."
"<en> They were very happy.","<es> Eran muy felices."
"<en> They were victorious.","<es> Salieron victoriosos."
"<en> They will understand.","<es> Entenderán."
"<en> They will understand.","<es> Van a entender."
"<en> They won the lottery.","<es> Ellos se ganaron la lotería."
"<en> They won't come back.","<es> No van a volver."
"<en> They'll be safe here.","<es> Ellos estarán a salvo aquí."
"<en> They're able to sing.","<es> Son capaces de cantar."
"<en> They're able to sing.","<es> Pueden cantar."
"<en> They're afraid of us.","<es> Ellos nos tienen miedo."
"<en> They're already dead.","<es> Ya están muertos."
"<en> They're already here.","<es> Ya están aquí."
"<en> They're already here.","<es> Ellos ya están aquí."
"<en> They're already here.","<es> Ellas ya están aquí."
"<en> They're not a threat.","<es> Ellos no son una amenaza."
"<en> They're not soldiers.","<es> No son soldados."
"<en> They're running late.","<es> Se les hizo tarde."
"<en> They're running late.","<es> Ellos van con retraso."
"<en> They're running late.","<es> Ellos van tarde."
"<en> They're tears of joy.","<es> Son lágrimas de alegría."
"<en> They're the same age.","<es> Ellos tienen la misma edad."
"<en> They're the same age.","<es> Son coetáneos."
"<en> They're under arrest.","<es> Ellos están bajo arresto."
"<en> They're watching you.","<es> Ellos te están observando."
"<en> Think of your family.","<es> ¡Piense en su familia!"
"<en> Think of your family.","<es> ¡Piensa en tu familia!"
"<en> Think of your future.","<es> Pensá en tu futuro."
"<en> This apple is rotten.","<es> Esta manzana está podrida."
"<en> This beer is for you.","<es> Esta cerveza es para ti."
"<en> This bicycle is mine.","<es> Esta bicicleta me pertenece."
"<en> This bicycle is mine.","<es> Esta bicicleta es mía."
"<en> This bird cannot fly.","<es> Este pájaro no puede volar."
"<en> This book is for you.","<es> Este libro es para usted."
"<en> This book is for you.","<es> Este libro es para ti."
"<en> This book is smaller.","<es> Este libro es más pequeño."
"<en> This book isn't mine.","<es> Este libro no es mío."
"<en> This book sells well.","<es> Este libro se vende bien."
"<en> This button is loose.","<es> Este botón está suelto."
"<en> This camera is Tom's.","<es> Esta cámara es de Tom."
"<en> This car is like new.","<es> Este auto está como nuevo."
"<en> This cat is not ours.","<es> Este gato no es nuestro."
"<en> This chair is broken.","<es> Esta silla está rota."
"<en> This clock is broken.","<es> Este reloj está roto."
"<en> This dog barks a lot.","<es> Este perro ladra mucho."
"<en> This door won't shut.","<es> Esta puerta no se cerrará."
"<en> This feels like silk.","<es> Esto se siente como seda."
"<en> This fish smells bad.","<es> Este pescado huele mal."
"<en> This game is so hard.","<es> Este juego es muy difícil."
"<en> This handbag is mine.","<es> Este bolso es mío."
"<en> This has my approval.","<es> Esto tiene mi aprobación."
"<en> This house is famous.","<es> Esta casa es famosa."
"<en> This is Tom's canary.","<es> Éste es el canario de Tom."
"<en> This is Tom's school.","<es> Esta es la escuela de Tom."
"<en> This is a bit unfair.","<es> Esto es un poco injusto."
"<en> This is a good house.","<es> Esta es una buena casa."
"<en> This is a good start.","<es> Este es un buen comienzo."
"<en> This is a great book.","<es> Es un libro genial."
"<en> This is a lemon tree.","<es> Este es un árbol limonero."
"<en> This is a small book.","<es> Este es un pequeño libro."
"<en> This is a true story.","<es> Esta es una historia real."
"<en> This is all I can do.","<es> Esto es todo lo que puedo hacer."
"<en> This is all my fault.","<es> Todo esto es culpa mía."
"<en> This is an emergency.","<es> Es una emergencia."
"<en> This is carcinogenic.","<es> Esto es carcinógeno."
"<en> This is exhilarating.","<es> Esto es emocionante."
"<en> This is for you, Tom.","<es> Esto es para ti, Tom."
"<en> This is getting hard.","<es> Esto se está poniendo difícil."
"<en> This is homemade jam.","<es> Esta es mermelada hecha en casa."
"<en> This is how I did it.","<es> Así es como lo hice."
"<en> This is how we do it.","<es> Así es como lo hacemos."
"<en> This is my I.D. card.","<es> Éste es mi carnet de identidad."
"<en> This is my apartment.","<es> Este es mi departamento."
"<en> This is my brother's.","<es> Esto es de mi hermano."
"<en> This is my dream job.","<es> Este es el trabajo de mis sueños."
"<en> This is only for you.","<es> Esto es solo para ti."
"<en> This is really great.","<es> Esto es fabuloso."
"<en> This is really gross.","<es> Eso es realmente repugnante."
"<en> This is really weird.","<es> Esto es realmente raro."
"<en> This is serious, Tom.","<es> Esto es grave, Tom."
"<en> This is so hilarious.","<es> Esto es tan chistoso."
"<en> This is the best ink.","<es> Ésta es la mejor tinta."
"<en> This is the best pen.","<es> Este es el mejor bolígrafo."
"<en> This is the solution.","<es> Esta es la solución."
"<en> This is very helpful.","<es> Esto ayuda mucho."
"<en> This is very helpful.","<es> Esto es de gran ayuda."
"<en> This is very painful.","<es> Esto es muy doloroso."
"<en> This is very serious.","<es> Esto es muy grave."
"<en> This is very serious.","<es> Esto es muy serio."
"<en> This is very strange.","<es> Esto es muy extraño."
"<en> This is what he said.","<es> Esto fue lo que él dijo."
"<en> This is what he said.","<es> Esto es lo que dijo."
"<en> This is what we need.","<es> Esto es lo que necesitamos."
"<en> This is your bedroom.","<es> Esta es tu habitación."
"<en> This is your handbag.","<es> Este es tu bolso."
"<en> This isn't Australia.","<es> Esto no es Australia."
"<en> This isn't a handout.","<es> Esto no es un folleto."
"<en> This job doesn't pay.","<es> Este empleo no paga."
"<en> This knife cuts well.","<es> Este cuchillo corta bien."
"<en> This letter's for me.","<es> Esta carta es para mí."
"<en> This looks delicious.","<es> Esto se ve delicioso."
"<en> This looks like silk.","<es> Parece seda."
"<en> This may not be true.","<es> Puede que esto no sea verdad."
"<en> This meat smells bad.","<es> Esta carne huele mal."
"<en> This might just work.","<es> Esto simplemente podría funcionar."
"<en> This must be changed.","<es> Esto tiene que cambiarse."
"<en> This needs to change.","<es> Esto necesita cambiar."
"<en> This novel is boring.","<es> Esta novela es aburrida."
"<en> This one's different.","<es> Este es diferente."
"<en> This pen has run dry.","<es> Este bolígrafo se secó."
"<en> This place is boring.","<es> Este sitio es aburrido."
"<en> This place is creepy.","<es> Este lugar es escalofriante."
"<en> This room is too hot.","<es> En esta habitación hace demasiado calor."
"<en> This room is too hot.","<es> En este cuarto hace demasiado calor."
"<en> This rug is handmade.","<es> Esta alfombra es hecha a mano."
"<en> This seems excessive.","<es> Esto parece excesivo."
"<en> This song is for you.","<es> Esta canción es para vos."
"<en> This song sounds sad.","<es> Esta canción suena triste."
"<en> This stove burns oil.","<es> Esta estufa quema aceite."
"<en> This tastes like tea.","<es> Esto sabe como a té."
"<en> This tea is very hot.","<es> Este té está ardiendo."
"<en> This tea is very hot.","<es> Este té está muy caliente."
"<en> This tea tastes good.","<es> Este té está bueno."
"<en> This toy is for boys.","<es> Este juguete es para niños."
"<en> This video is boring.","<es> Este video es aburrido."
"<en> This video is boring.","<es> Este vídeo es aburrido."
"<en> This was Tom's chair.","<es> Esta era la silla de Tom."
"<en> This was a good book.","<es> Este libro estuvo muy bien."
"<en> This was on the list.","<es> Esto estaba en la lista."
"<en> This watch is broken.","<es> Este reloj está roto."
"<en> This way please, Tom.","<es> Por aquí por favor, Tom."
"<en> This will cost €30.","<es> Eso va a costar 30 €."
"<en> This will do for now.","<es> Con esto estará bien por ahora."
"<en> Those apples are big.","<es> Esas manzanas son grandes."
"<en> Those are Tom's dogs.","<es> Esos son los perros de Tom."
"<en> Those are our orders.","<es> Esas son nuestras órdenes."
"<en> Those books are mine.","<es> Esos libros son míos."
"<en> Those books are mine.","<es> Son mis libros."
"<en> Those houses are big.","<es> Esas casas son grandes."
"<en> Time was running out.","<es> El tiempo se estaba agotando."
"<en> Today is a sunny day.","<es> Hoy es un día soleado."
"<en> Tokyo is a huge city.","<es> Tokio es una ciudad enorme."
"<en> Tokyo is a huge city.","<es> Tokio es una ciudad gigante."
"<en> Tom accepted the job.","<es> Tom aceptó el empleo."
"<en> Tom almost got fired.","<es> Tom casi fue despedido."
"<en> Tom always liked you.","<es> A Tom siempre le gustaste."
"<en> Tom always says that.","<es> Tom siempre dice eso."
"<en> Tom and Mary laughed.","<es> Tomás y María se rieron."
"<en> Tom apologized again.","<es> Tom se volvió a disculpar."
"<en> Tom asked about Mary.","<es> Tom preguntó por María."
"<en> Tom asked me to help.","<es> Tom me pidió ayuda."
"<en> Tom ate the sandwich.","<es> Tom se comió el emparedado."
"<en> Tom ate the sandwich.","<es> Tom se comió el sandwich."
"<en> Tom became a soldier.","<es> Tom se hizo soldado."
"<en> Tom became conscious.","<es> Tom volvió a ser consciente."
"<en> Tom became depressed.","<es> Tom se deprimió."
"<en> Tom became desperate.","<es> Tom se desesperó."
"<en> Tom blew Mary a kiss.","<es> Tom le lanzó un besó a Mary."
"<en> Tom boarded the ship.","<es> Tom abordó el barco."
"<en> Tom bought a new car.","<es> Tom compró carro nuevo."
"<en> Tom bought it for me.","<es> Tom lo compró para mí."
"<en> Tom branded the calf.","<es> Tom marcó el ternero."
"<en> Tom breaks the rules.","<es> Tom rompe las reglas."
"<en> Tom broke Mary's mug.","<es> Tomás le rompió la taza a María."
"<en> Tom bumped into Mary.","<es> Tom se tropezó con Mary."
